160,128,1024,5,116.08
160,128,1024,4,116.01
160,128,1024,3,98.08
160,128,1024,2,111.1
160,128,1024,1,100.24
160,128,512,5,124.16
160,128,512,4,118.71
160,128,512,3,100.26
160,128,512,2,103.66
160,128,512,1,82.94
160,128,256,5,79.75
160,128,256,4,74.5
160,128,256,3,54.73
160,128,256,2,55.35
160,128,256,1,37.33
160,64,1024,5,89.52
160,64,1024,4,90.6
160,64,1024,3,72.6
160,64,1024,2,74.05
160,64,1024,1,57.43
160,64,512,5,84.07
160,64,512,4,84.4
160,64,512,3,64.94
160,64,512,2,67.23
160,64,512,1,51.82
160,64,256,5,59.49
160,64,256,4,59.23
160,64,256,3,41.23
160,64,256,2,43.98
160,64,256,1,29.15
80,128,1024,5,158.37
80,128,1024,4,149.29
80,128,1024,3,136.98
80,128,1024,2,125.67
80,128,1024,1,106.01
80,128,512,5,141.71
80,128,512,4,127.5
80,128,512,3,101.79
80,128,512,2,99.49
80,128,512,1,78.46
80,128,256,5,116.62
80,128,256,4,100.48
80,128,256,3,77.05
80,128,256,2,74.36
80,128,256,1,57.62
80,64,1024,5,87.65
80,64,1024,4,87.74
80,64,1024,3,68.14
80,64,1024,2,71.02
80,64,1024,1,54.65
80,64,512,5,80.95
80,64,512,4,80.27
80,64,512,3,60.58
80,64,512,2,64.11
80,64,512,1,48.51
80,64,256,5,63.44
80,64,256,4,64.85
80,64,256,3,47.68
80,64,256,2,51.18
80,64,256,1,36.96
40,128,1024,5,129.77
40,128,1024,4,123.75
40,128,1024,3,102.21
40,128,1024,2,99.45
40,128,1024,1,82.29
40,128,512,5,112.52
40,128,512,4,107.91
40,128,512,3,85.73
40,128,512,2,87.1
40,128,512,1,71.97
40,128,256,5,110.75
40,128,256,4,107.49
40,128,256,3,89.23
40,128,256,2,90.41
40,128,256,1,76.66
40,64,1024,5,83.66
40,64,1024,4,84.17
40,64,1024,3,64.31
40,64,1024,2,66.27
40,64,1024,1,51.38
40,64,512,5,71.85
40,64,512,4,73.71
40,64,512,3,56.29
40,64,512,2,59.85
40,64,512,1,46.25
40,64,256,5,68.83
40,64,256,4,73.67
40,64,256,3,55.94
40,64,256,2,60.29
40,64,256,1,48.67
20,128,1024,5,110.1
20,128,1024,4,106.54
20,128,1024,3,87.2
20,128,1024,2,88.97
20,128,1024,1,72.78
20,128,512,5,101.73
20,128,512,4,100.4
20,128,512,3,83.26
20,128,512,2,85.72
20,128,512,1,71.2
20,128,256,5,102.35
20,128,256,4,101.55
20,128,256,3,84.16
20,128,256,2,86.93
20,128,256,1,74.02
20,64,1024,5,72.71
20,64,1024,4,77.19
20,64,1024,3,57.76
20,64,1024,2,61.41
20,64,1024,1,48.27
20,64,512,5,65.38
20,64,512,4,69.66
20,64,512,3,53.78
20,64,512,2,58.52
20,64,512,1,47.98
20,64,256,5,64.75
20,64,256,4,70.09
20,64,256,3,54.6
20,64,256,2,59.48
20,64,256,1,48.46
