,256,512,1024,2048,4096,8192,
4,16.809,14.7377,13.4245,15.0311,15.2992,14.6342,14.98928333
5,17.392,14.6411,15.4534,15.619,14.9542,15.234,15.54895
6,16.6685,14.8942,16.8309,15.5199,16.1473,16.4125,16.07888333
8,16.6493,17.4521,16.8991,17.4581,17.1642,17.9864,17.2682
10,17.1604,18.2247,18.2199,18.6124,19.0578,19.7416,18.5028
12,18.7882,18.5176,19.0246,19.9694,20.5353,20.6487,19.58063333
15,20.8949,20.0372,21.4124,21.8605,23.2922,22.9705,21.74461667
20,21.4158,22.4734,24.7627,24.1195,28.5776,27.8758,24.8708
24,22.4441,24.7035,27.2437,29.4046,31.9026,30.7218,27.73671667
25,22.7617,25.9602,28.2421,30.2988,31.9406,30.5167,28.28668333
30,24.7491,28.4148,32.0797,30.4464,29.1758,27.8574,28.7872
40,30.8303,32.9211,29.0155,26.1014,24.801,23.93,27.93321667
50,32.4572,28.7755,25.104,23.1707,21.9391,21.9576,25.56735
60,31.4629,26.472,23.2849,21.6208,21.1305,20.1282,24.01655
75,27.7862,23.4482,21.5922,20.3161,19.0972,19.784,22.00398333
100,23.995,21.2042,19.1742,17.935,17.2957,16.2076,19.30195
120,23.0798,20.2233,18.4813,17.2198,17.5888,16.8082,18.9002
125,20.6947,18.5589,17.2665,16.2437,15.7056,16.5776,17.50783333
150,21.2628,19.0642,17.4352,16.1986,16.365,17.1869,17.91878333
200,19.3941,17.2941,15.7505,14.424,13.5713,13.1409,15.59581667
